"","X","country","year","hourly_compensation"
"436",436,"Germany",1995,30.1000003814697
"437",437,"Greece",1995,9.05000019073486
"438",438,"Hong Kong, China",1995,4.80000019073486
"439",439,"Hungary",1995,2.69000005722046
"440",440,"Ireland",1995,14.1400003433228
"441",441,"Israel",1995,9.40999984741211
"442",442,"Italy",1995,16.5300006866455
"443",443,"Japan",1995,23.4699993133545
"444",444,"Korea, Rep.",1995,7.28999996185303
"445",445,"Luxembourg",1995,23.4500007629395
"446",446,"Mexico",1995,1.70000004768372
"447",447,"Netherlands",1995,24.0300006866455
"448",448,"New Zealand",1995,10.3500003814697
"449",449,"Norway",1995,24.8400001525879
"450",450,"Philippines",1995,0.93999999761581
"451",451,"Portugal",1995,5.1399998664856
"452",452,"Singapore",1995,7.65000009536743
"453",453,"Spain",1995,12.6999998092651
"454",454,"Sri Lanka",1995,0.47999998927116
"455",455,"Sweden",1995,21.6200008392334
"456",456,"Switzerland",1995,28.8899993896484
"457",457,"Taiwan",1995,5.98999977111816
"458",458,"United Kingdom",1995,13.710000038147
"459",459,"United States",1995,17.1700000762939
"460",460,"Australia",1996,17.0200004577637
"461",461,"Austria",1996,24.75
"462",462,"Belgium",1996,25.25
"463",463,"Brazil",1996,5.76000022888184
"464",464,"Canada",1996,17.0400009155273
"465",465,"Czech Rep.",1996,2.94000005722046
"466",466,"Denmark",1996,25.1399993896484
"467",467,"Finland",1996,22.2099990844727
"468",468,"France",1996,18.9699993133545
"469",469,"Germany",1996,29.5799999237061
"470",470,"Greece",1996,9.52999973297119
"471",471,"Hong Kong, China",1996,5.11999988555908
"472",472,"Hungary",1996,2.71000003814697
"473",473,"Ireland",1996,14.4899997711182
"474",474,"Israel",1996,10.1099996566772
"475",475,"Italy",1996,18.0699996948242
"476",476,"Japan",1996,20.4400005340576
"477",477,"Korea, Rep.",1996,8.21000003814697
"478",478,"Luxembourg",1996,22.4500007629395
"479",479,"Mexico",1996,1.62999999523163
"480",480,"Netherlands",1996,23.1000003814697
"481",481,"New Zealand",1996,11.3100004196167
"482",482,"Norway",1996,25.4599990844727
"483",483,"Philippines",1996,1.00999999046326
"484",484,"Portugal",1996,5.32999992370606
"485",485,"Singapore",1996,8.25
"486",486,"Spain",1996,13.3299999237061
"487",487,"Sri Lanka",1996,0.47999998927116
"488",488,"Sweden",1996,24.2900009155273
"489",489,"Switzerland",1996,27.9400005340576
"490",490,"Taiwan",1996,5.98000001907349
"491",491,"United Kingdom",1996,14.1199998855591
"492",492,"United States",1996,17.7399997711182
"493",493,"Australia",1997,16.7099990844727
"494",494,"Austria",1997,21.8500003814697
"495",495,"Belgium",1997,22.2800006866455
"496",496,"Brazil",1997,5.76999998092651
"497",497,"Canada",1997,16.8299999237061
"498",498,"Czech Rep.",1997,2.78999996185303
"499",499,"Denmark",1997,23.1499996185303
"500",500,"Finland",1997,20.0100002288818
"501",501,"France",1997,17.0699996948242
"502",502,"Germany",1997,25.9599990844727
"503",503,"Greece",1997,9.14999961853027
"504",504,"Hong Kong, China",1997,5.38000011444092
"505",505,"Hungary",1997,2.6800000667572
"506",506,"Ireland",1997,14.25
"507",507,"Israel",1997,10.8000001907349
"508",508,"Italy",1997,16.9500007629395
"509",509,"Japan",1997,18.9799995422363
"510",510,"Korea, Rep.",1997,7.8600001335144
"511",511,"Luxembourg",1997,19.6599998474121
"512",512,"Mexico",1997,1.73000001907349
"513",513,"Netherlands",1997,20.7299995422363
"514",514,"New Zealand",1997,11.3199996948242
"515",515,"Norway",1997,24.1200008392334
"516",516,"Philippines",1997,0.95999997854233
"517",517,"Poland",1997,2.78999996185303
"518",518,"Portugal",1997,5.13000011444092
"519",519,"Singapore",1997,8.10000038146973
"520",520,"Spain",1997,12.0799999237061
"521",521,"Sri Lanka",1997,0.46000000834465
"522",522,"Sweden",1997,22.3700008392334
"523",523,"Switzerland",1997,23.8500003814697
"524",524,"Taiwan",1997,6.09000015258789
"525",525,"United Kingdom",1997,15.6899995803833
"526",526,"United States",1997,18.2000007629395
"527",527,"Australia",1998,15.1099996566772
"528",528,"Austria",1998,22.0200004577637
"529",529,"Belgium",1998,22.6200008392334
"530",530,"Brazil",1998,5.48999977111816
"531",531,"Canada",1998,15.9300003051758
"532",532,"Czech Rep.",1998,2.99000000953674
"533",533,"Denmark",1998,23.6800003051758
"534",534,"Finland",1998,19.3999996185303
"535",535,"France",1998,17.2800006866455
"536",536,"Germany",1998,25.1700000762939
"537",537,"Greece",1998,8.88000011444092
"538",538,"Hong Kong, China",1998,5.40000009536743
"539",539,"Hungary",1998,2.72000002861023
"540",540,"Ireland",1998,14.1800003051758
"541",541,"Israel",1998,10.8599996566772
"542",542,"Italy",1998,16.7299995422363
"543",543,"Japan",1998,17.6200008392334
"544",544,"Korea, Rep.",1998,5.67000007629394
"545",545,"Luxembourg",1998,19.5900001525879
"546",546,"Mexico",1998,1.64999997615814
"547",547,"Netherlands",1998,21.2900009155273
"548",548,"New Zealand",1998,9.38000011444092
"549",549,"Norway",1998,24.4300003051758
"550",550,"Philippines",1998,0.72000002861023
"551",551,"Poland",1998,3
"552",552,"Portugal",1998,5.19999980926514
"553",553,"Singapore",1998,7.42999982833862
"554",554,"Spain",1998,11.9499998092651
"555",555,"Sri Lanka",1998,0.46999999880791
"556",556,"Sweden",1998,22.3999996185303
"557",557,"Switzerland",1998,24.0400009155273
"558",558,"Taiwan",1998,5.3899998664856
"559",559,"United Kingdom",1998,16.9799995422363
"560",560,"United States",1998,18.5200004577637
"561",561,"Australia",1999,15.9399995803833
"562",562,"Austria",1999,21.6299991607666
"563",563,"Belgium",1999,22.1399993896484
"564",564,"Brazil",1999,3.39000010490418
"565",565,"Canada",1999,16.1000003814697
"566",566,"Czech Rep.",1999,3.11999988555908
"567",567,"Denmark",1999,24.0200004577637
"568",568,"Finland",1999,19.6599998474121
"569",569,"France",1999,16.9799995422363
"570",570,"Germany",1999,24.5699996948242
"571",571,"Greece",1999,8.60000038146973
"572",572,"Hong Kong, China",1999,5.36999988555908
"573",573,"Hungary",1999,2.75999999046326
"574",574,"Ireland",1999,14.3299999237061
"575",575,"Israel",1999,10.5699996948242
